ZdAId;ZdAVersion;ZdACreated;ZdAChanged;ZdAName;ZdAXEpsg2154;ZdAYEpsg2154;ZdCId;ZdAType;ZdAPostalRegion;ZdATown,
53803;53803-64324;2014-12-29T16:31:51+01:00;2023-08-14T13:05:27+02:00;Les Murgets;636025;6862540;64324;onstreetBus;78092;Bougival,
482734;1328787-1328791;2021-09-14T02:00:00+02:00;2023-08-14T13:05:27+02:00;Place Berthet;637636;6861314;64275;onstreetBus;78126;La Celle-Saint-Cloud,
479375;1195471-1195473;2020-04-09T20:05:05+02:00;2023-08-14T11:56:01+02:00;Tom Morel;631349;6856744;479376;onstreetBus;78545;Saint-Cyr-l'École,
49909;49909-61523;2014-12-29T16:31:51+01:00;2023-08-14T09:57:41+02:00;Bas;725141;6811192;61523;onstreetBus;77015;Baby,
49912;49912-61487;2014-12-29T16:31:51+01:00;2023-08-14T09:55:13+02:00;Villiers sur Terre;722002;6810495;61487;onstreetBus;77507;Villenauxe-la-Petite,
49915;49915-61515;2014-12-29T16:31:51+01:00;2023-08-14T09:52:54+02:00;Avigny;716756;6811073;61515;onstreetBus;77321;Mousseaux-lès-Bray,
49916;49916-61465;2014-12-29T16:31:51+01:00;2023-08-14T09:52:20+02:00;Mairie;706650;6809781;61465;onstreetBus;77467;La Tombe,
49918;49918-61501;2014-12-29T16:31:51+01:00;2023-08-14T09:50:17+02:00;Mairie;710885;6810881;61501;onstreetBus;77019;Balloy,
49928;1320136-1320137;2014-12-29T01:00:00+01:00;2023-08-14T09:27:09+02:00;4 Chemins;726131;6816559;61683;onstreetBus;77341;Noyen-sur-Seine,
42791;42791-61437;2014-12-29T16:31:51+01:00;2023-08-14T08:35:36+02:00;Croix de la Mission;701797;6809443;61437;onstreetBus;77279;Marolles-sur-Seine,
54133;54133-73909;2014-12-29T16:31:51+01:00;2023-08-11T16:32:22+02:00;Pieu;619752;6876977;73909;onstreetBus;78440;Les Mureaux,
47819;1246510-1246509;2014-12-29T01:00:00+01:00;2023-08-11T16:20:20+02:00;Cité Aubert;620184;6877334;65925;onstreetBus;78440;Les Mureaux,
54083;54083-65968;2014-12-29T16:31:51+01:00;2023-08-11T14:05:10+02:00;Nouveau Cimetière;619216;6877533;65968;onstreetBus;78440;Les Mureaux,
473659;1101044-71673;2019-03-19T01:00:00+01:00;2023-08-10T15:02:05+02:00;Nation - Taillebourg;655732;6861156;71673;onstreetBus;75111;Paris 11e,
486811;1461997-1472531;2023-03-03T10:16:33+01:00;2023-08-10T10:54:04+02:00;Jardin Parisien;645098;6854701;70163;onstreetTram;92023;Clamart,
43515;43515-1488040;2014-12-29T16:31:51+01:00;2023-08-10T10:42:19+02:00;La Briaude;647068;6851655;69814;onstreetBus;92019;Châtenay-Malabry,
486823;1462007-1489228;2023-03-03T10:16:43+01:00;2023-08-10T10:40:02+02:00;Vallée aux Loups;645234;6852067;425723;onstreetTram;92019;Châtenay-Malabry,
486819;1462003-1472536;2023-03-03T10:16:40+01:00;2023-08-10T09:53:07+02:00;Noveos;644885;6853219;69978;onstreetTram;92060;Le Plessis-Robinson,
486815;1462000-1472533;2023-03-03T10:16:37+01:00;2023-08-10T09:52:23+02:00;Le Hameau;645126;6853868;70060;onstreetTram;92060;Le Plessis-Robinson,
52524;1226429-1226430;2014-12-29T01:00:00+01:00;2023-08-09T18:33:19+02:00;La Maladrerie;702178;6879895;69230;onstreetBus;77280;Mary-sur-Marne,
47307;1086769-1086772;2014-12-29T01:00:00+01:00;2023-08-09T17:18:05+02:00;Lagny Thorigny / Foch Paix Notre Dame;678095;6864112;68427;onstreetBus;77243;Lagny-sur-Marne,
46876;46876-1393318;2014-12-29T16:31:51+01:00;2023-08-09T17:13:01+02:00;Clos des Epines;633916;6864259;64417;onstreetBus;78372;Marly-le-Roi,
45370;45370-1207160;2014-12-29T16:31:51+01:00;2023-08-08T19:46:38+02:00;Boulevard Victor;647645;6859516;479853;onstreetBus;75115;Paris 15e,
44418;44418-65052;2014-12-29T16:31:51+01:00;2023-08-08T17:55:18+02:00;Place François Rabelais;643828;6872082;65052;onstreetBus;95018;Argenteuil,
45809;45809-61950;2014-12-29T16:31:51+01:00;2023-08-08T17:12:50+02:00;Cyclopes;665677;6825814;61950;onstreetBus;77407;Saint-Fargeau-Ponthierry,
56057;56057-995123;2014-12-29T16:31:51+01:00;2023-08-08T12:28:58+02:00;Piscine;697567;6811301;61512;onstreetBus;77305;Montereau-Fault-Yonne,
56082;56082-61433;2014-12-29T16:31:51+01:00;2023-08-08T12:28:58+02:00;Zone Artisanale;694451;6809446;61433;onstreetBus;77210;La Grande-Paroisse,
44170;44170-61251;2014-12-29T16:31:51+01:00;2023-08-08T12:28:58+02:00;Monument;697710;6797615;61251;onstreetBus;77531;Voulx,
487787;1478600-1478601;2023-06-12T11:38:13+02:00;2023-08-07T16:25:14+02:00;Ecole de Quiers;697924;6833937;487788;onstreetBus;77381;Quiers,
488337;1490694-1105547;2023-08-02T21:21:05+02:00;2023-08-02T21:21:59+02:00;Fontenay-sou-Bois RER;660584;6860573;71630;onstreetBus;94033;Fontenay-sous-Bois,
58895;1301969-1346768;2014-12-29T01:00:00+01:00;2023-08-02T21:21:59+02:00;Gardinoux;653535;6867517;74041;onstreetBus;93001;Aubervilliers,
