ZdAId;ZdAVersion;ZdACreated;ZdAChanged;ZdAName;ZdAXEpsg2154;ZdAYEpsg2154;ZdCId;ZdAType;ZdAPostalRegion;ZdATown,
45036;45036-1442874;2014-12-29T16:31:51+01:00;2023-12-21T16:46:27+01:00;Village - Ecole J. Gilet;627436;6859773;64204;onstreetBus;78674;Villepreux,
54035;54035-64651;2014-12-29T16:31:51+01:00;2023-12-21T16:46:25+01:00;Village;618314;6868008;64651;onstreetBus;78305;Herbeville,
477878;1150725-1363894;2019-08-13T13:20:44+02:00;2023-12-21T16:46:13+01:00;Vieux Moulin;613677;6837873;60552;onstreetBus;78517;Rambouillet,
49183;49183-64073;2014-12-29T16:31:51+01:00;2023-12-21T16:46:09+01:00;Vierge;618173;6858138;64073;onstreetBus;78683;Villiers-Saint-Frédéric,
43300;1360473-1360474;2014-12-29T01:00:00+01:00;2023-12-21T16:46:00+01:00;Verdi;631431;6866446;64550;onstreetBus;78551;Saint-Germain-en-Laye,
56714;56714-60751;2014-12-29T16:31:51+01:00;2023-12-21T16:46:00+01:00;Vdo;614136;6839574;60751;onstreetBus;78517;Rambouillet,
44968;44968-64292;2014-12-29T16:31:51+01:00;2023-12-21T16:45:44+01:00;Tuilerie Bignon;629705;6861849;64292;onstreetBus;78455;Noisy-le-Roi,
48672;48672-62846;2014-12-29T16:31:51+01:00;2023-12-21T16:45:42+01:00;Trou Rouge;627960;6844505;62846;onstreetBus;78160;Chevreuse,
52017;52017-64050;2014-12-29T16:31:51+01:00;2023-12-21T16:45:40+01:00;Trou Chevalier;608853;6858276;64050;onstreetBus;78265;Garancières,
53970;53970-64761;2014-12-29T16:31:51+01:00;2023-12-21T16:45:29+01:00;Transformateur;617386;6869812;64761;onstreetBus;78380;Maule,
56704;56704-734349;2014-12-29T16:31:51+01:00;2023-12-21T16:45:19+01:00;Tivoli;613492;6838524;60605;onstreetBus;78517;Rambouillet,
52000;52000-64326;2014-12-29T16:31:51+01:00;2023-12-21T16:45:16+01:00;Tessé;607678;6862807;64326;onstreetBus;78236;Flexanville,
56703;56703-60700;2014-12-29T16:31:51+01:00;2023-12-21T16:45:04+01:00;Telecom;613858;6839165;60700;onstreetBus;78517;Rambouillet,
44910;44910-728023;2014-12-29T16:31:51+01:00;2023-12-21T16:44:59+01:00;Sucrerie;624914;6862232;64307;onstreetBus;78152;Chavenay,
473870;1106009-1106007;2019-03-25T01:00:00+01:00;2023-12-21T16:44:41+01:00;Gare de Saint-Rémy-lès-Chevreuse;631575;6845162;62978;onstreetBus;78575;Saint-Rémy-lès-Chevreuse,
59383;796864-796862;2014-12-29T01:00:00+01:00;2023-12-21T16:44:30+01:00;Saint-Clair;637599;6841658;420428;onstreetBus;91275;Gometz-le-Châtel,
43672;43672-59993;2014-12-29T16:31:51+01:00;2023-12-21T16:44:26+01:00;Leclerc;621756;6830693;59993;onstreetBus;78537;Saint-Arnoult-en-Yvelines,
52037;830076-830075;2014-12-29T01:00:00+01:00;2023-12-21T16:44:22+01:00;Saint Etienne;605760;6875611;65534;onstreetBus;78362;Mantes-la-Ville,
53361;1030975-1030976;2014-12-29T01:00:00+01:00;2023-12-21T16:44:17+01:00;Rue Georges Pompidou;602449;6863458;64358;onstreetBus;78505;Prunay-le-Temple,
51995;51995-1119440;2014-12-29T16:31:51+01:00;2023-12-21T16:44:06+01:00;Rue de la Vesgre;601446;6849261;474398;onstreetBus;78171;Condé-sur-Vesgre,
58690;58690-73972;2014-12-29T16:31:51+01:00;2023-12-21T16:43:58+01:00;Rue de Boinville;614376;6824230;73972;onstreetBus;78003;Ablis,
49139;49139-63802;2014-12-29T16:31:51+01:00;2023-12-21T16:43:30+01:00;Richarderie;620518;6854706;63802;onstreetBus;78321;Jouars-Pontchartrain,
56701;56701-60833;2014-12-29T16:31:51+01:00;2023-12-21T16:43:22+01:00;Prunelliers;615769;6840399;60833;onstreetBus;78517;Rambouillet,
47834;883805-883806;2014-12-29T01:00:00+01:00;2023-12-21T16:43:06+01:00;Poste;621664;6830756;59998;onstreetBus;78537;Saint-Arnoult-en-Yvelines,
44505;1194313-1194315;2014-12-29T01:00:00+01:00;2023-12-21T16:43:02+01:00;Porte d'Étampes;644367;6832125;60080;onstreetBus;91021;Arpajon,
54899;54899-1442226;2014-12-29T16:31:51+01:00;2023-12-21T16:42:55+01:00;Pont d'Auneau;621005;6850332;63387;onstreetBus;78168;Coignières,
46629;46629-64574;2014-12-29T16:31:51+01:00;2023-12-21T16:42:46+01:00;Place Lamant;632908;6866719;64574;onstreetBus;78551;Saint-Germain-en-Laye,
44417;44417-63948;2014-12-29T16:31:51+01:00;2023-12-21T16:42:44+01:00;Place Foch;619262;6856411;63948;onstreetBus;78321;Jouars-Pontchartrain,
53362;53362-64143;2014-12-29T16:31:51+01:00;2023-12-21T16:42:39+01:00;Place du Château;599895;6858945;64143;onstreetBus;78520;Richebourg,
426888;882722-793216;2017-09-11T02:00:00+02:00;2023-12-21T16:42:32+01:00;Place;615562;6855081;63820;onstreetBus;78366;Mareil-le-Guyon,
44288;44288-63660;2014-12-29T16:31:51+01:00;2023-12-21T16:42:16+01:00;Paul Langevin;625801;6853381;63660;onstreetBus;78621;Trappes,
44286;44286-660387;2014-12-29T16:31:51+01:00;2023-12-21T16:42:14+01:00;Paul Éluard;631247;6853076;63629;onstreetBus;78297;Guyancourt,
44274;44274-63621;2014-12-29T16:31:51+01:00;2023-12-21T16:42:10+01:00;Pasteur;625309;6853091;63621;onstreetBus;78621;Trappes,
52033;52033-63816;2014-12-29T16:31:51+01:00;2023-12-21T16:42:07+01:00;Parc Boulogne;612847;6855002;63816;onstreetBus;78389;Méré,
44185;44185-63661;2014-12-29T16:31:51+01:00;2023-12-21T16:41:53+01:00;Mozart;630813;6853349;63661;onstreetBus;78297;Guyancourt,
54898;54898-60267;2014-12-29T16:31:51+01:00;2023-12-21T16:41:47+01:00;Moulin;620214;6834952;60267;onstreetBus;78164;Clairefontaine-en-Yvelines,
479452;1199830-1200034;2020-05-11T19:47:28+02:00;2023-12-21T16:41:44+01:00;Molière;620507;6858230;64075;onstreetBus;78490;Plaisir,
425057;819546-819548;2016-11-08T23:40:00+01:00;2023-12-21T16:41:42+01:00;Mocsouris;599701;6855248;425058;onstreetBus;78381;Maulette,
56715;56715-60742;2014-12-29T16:31:51+01:00;2023-12-21T16:41:32+01:00;Maurice Dechy;613105;6839505;60742;onstreetBus;78517;Rambouillet,
56693;56693-60519;2014-12-29T16:31:51+01:00;2023-12-21T16:41:27+01:00;Maréchal Juin;613722;6837706;60519;onstreetBus;78517;Rambouillet,
44068;44068-63773;2014-12-29T16:31:51+01:00;2023-12-21T16:41:11+01:00;Maladrerie;612357;6854473;63773;onstreetBus;78389;Méré,
48725;48725-60916;2014-12-29T16:31:51+01:00;2023-12-21T16:41:04+01:00;Mairie;617174;6841647;60916;onstreetBus;78655;Vieille-Église-en-Yvelines,
43961;43961-64365;2014-12-29T16:31:51+01:00;2023-12-21T16:41:02+01:00;Mairie;611579;6863472;64365;onstreetBus;78616;Thoiry,
59064;59064-74151;2014-12-29T16:31:51+01:00;2023-12-21T16:40:57+01:00;Mairie;591745;6839667;74151;onstreetBus;28279;Nogent-le-Roi,
54883;54883-63079;2014-12-29T16:31:51+01:00;2023-12-21T16:40:53+01:00;Mairie;612704;6845974;63079;onstreetBus;78108;Les Bréviaires,
54012;54012-65330;2014-12-29T16:31:51+01:00;2023-12-21T16:40:47+01:00;Mairie;617271;6874446;65330;onstreetBus;78238;Flins-sur-Seine,
51992;51992-64380;2014-12-29T16:31:51+01:00;2023-12-21T16:40:44+01:00;Mairie;598468;6863883;64380;onstreetBus;78163;Civry-la-Forêt,
483733;1382143-878061;2022-04-14T02:00:00+02:00;2023-12-21T16:40:41+01:00;Mairie;640436;6856898;73719;onstreetBus;92022;Chaville,
53340;53340-64196;2014-12-29T16:31:51+01:00;2023-12-21T16:40:38+01:00;Mairie;606142;6859706;64196;onstreetBus;78053;Béhoust,
59266;59266-74314;2014-12-29T16:31:51+01:00;2023-12-21T16:40:31+01:00;Mairie;611845;6816377;74314;onstreetBus;28013;Aunay-sous-Auneau,
48782;48782-60680;2014-12-29T16:31:51+01:00;2023-12-21T16:40:29+01:00;Mairie;629898;6838893;60680;onstreetBus;91482;Pecqueuse,
479691;1204522-1378697;2020-07-28T19:18:48+02:00;2023-12-21T16:40:27+01:00;Mairie;604879;6860784;483648;onstreetBus;78465;Orgerus,
54104;54104-65044;2014-12-29T16:31:51+01:00;2023-12-21T16:40:26+01:00;Mairie;614711;6872341;65044;onstreetBus;78451;Nézel,
49096;49096-64311;2014-12-29T16:31:51+01:00;2023-12-21T16:40:23+01:00;Mairie;617524;6862415;64311;onstreetBus;78062;Beynes,
48688;48688-63154;2014-12-29T16:31:51+01:00;2023-12-21T16:40:22+01:00;Maincourt;623905;6846602;63154;onstreetBus;78193;Dampierre-en-Yvelines,
416463;1294062-1185961;2015-05-12T02:00:00+02:00;2023-12-21T16:40:19+01:00;Lycée Van Gogh;616222;6873040;65186;onstreetBus;78029;Aubergenville,
43793;43793-63617;2014-12-29T16:31:51+01:00;2023-12-21T16:39:59+01:00;Les Templiers;624632;6852997;63617;onstreetBus;78208;Élancourt,
43786;1243980-1243981;2014-12-29T01:00:00+01:00;2023-12-21T16:39:55+01:00;Sablons;620561;6875785;479955;onstreetBus;78440;Les Mureaux,
57742;57742-63566;2014-12-29T16:31:51+01:00;2023-12-21T16:39:54+01:00;Les Réaux;623897;6852548;63566;onstreetBus;78208;Élancourt,
48780;48780-60633;2014-12-29T16:31:51+01:00;2023-12-21T16:39:51+01:00;Les Pommiers;630675;6838608;60633;onstreetBus;91482;Pecqueuse,
51570;51570-1295946;2014-12-29T16:31:51+01:00;2023-12-21T16:39:48+01:00;Les Pavillons;632712;6839608;482113;onstreetBus;91338;Limours,
43766;43766-63716;2014-12-29T16:31:51+01:00;2023-12-21T16:39:43+01:00;Les Mousseaux;618659;6853910;63716;onstreetBus;78321;Jouars-Pontchartrain,
44530;44530-63945;2014-12-29T16:31:51+01:00;2023-12-21T16:39:41+01:00;Les Matelots;634307;6856287;63945;onstreetBus;78646;Versailles,
57783;57783-1442226;2014-12-29T16:31:51+01:00;2023-12-21T16:39:38+01:00;Les Fontaines;621064;6850375;63387;onstreetBus;78168;Coignières,
48771;793186-1295945;2014-12-29T01:00:00+01:00;2023-12-21T16:39:37+01:00;Les Fleurs;631689;6838151;60587;onstreetBus;91338;Limours,
54999;793194-793196;2014-12-29T01:00:00+01:00;2023-12-21T16:39:34+01:00;Les Coudrayes;610310;6831552;60032;onstreetBus;78470;Orphin,
43981;897458-897464;2014-12-29T01:00:00+01:00;2023-12-21T16:39:25+01:00;Les Trois Fontaines;634794;6859973;64219;onstreetBus;78158;Chesnay-Rocquencourt,
415032;792985-792984;2015-03-26T01:00:00+01:00;2023-12-21T16:39:23+01:00;L'Epinette;599954;6845171;415033;onstreetBus;78302;La Hauteville,
54900;54900-63345;2014-12-29T16:31:51+01:00;2023-12-21T16:38:51+01:00;Le Hallier;602311;6849527;63345;onstreetBus;78171;Condé-sur-Vesgre,
480750;1242089-1242091;2021-03-19T13:08:35+01:00;2023-12-21T16:38:45+01:00;Le Clocher;619420;6828186;480751;onstreetBus;78499;Ponthévrard,
53333;53333-63311;2014-12-29T16:31:51+01:00;2023-12-21T16:38:40+01:00;Le Breuil;599859;6848832;63311;onstreetBus;78171;Condé-sur-Vesgre,
48777;48777-60923;2014-12-29T16:31:51+01:00;2023-12-21T16:38:31+01:00;Lavoir;631169;6841643;60923;onstreetBus;91411;Les Molières,
51560;796902-796901;2014-12-29T01:00:00+01:00;2023-12-21T16:38:27+01:00;Launay Courson;635053;6833503;60159;onstreetBus;91634;Vaugrigneuse,
49158;49158-1200034;2014-12-29T16:31:51+01:00;2023-12-21T16:38:26+01:00;Lamartine;620541;6858141;64075;onstreetBus;78490;Plaisir,
56686;56686-60723;2014-12-29T16:31:51+01:00;2023-12-21T16:38:23+01:00;Lac;615980;6839305;60723;onstreetBus;78517;Rambouillet,
54901;54901-60177;2014-12-29T16:31:51+01:00;2023-12-21T16:38:14+01:00;La Roncière;637960;6833569;60177;onstreetBus;91243;Fontenay-lès-Briis,
54853;54853-59756;2014-12-29T16:31:51+01:00;2023-12-21T16:38:06+01:00;La Paix;613835;6824918;59756;onstreetBus;78003;Ablis,
56664;56664-59847;2014-12-29T16:31:51+01:00;2023-12-21T16:37:56+01:00;La Mare;616639;6826989;59847;onstreetBus;78003;Ablis,
54857;54857-63227;2014-12-29T16:31:51+01:00;2023-12-21T16:37:54+01:00;La Jaunière;602092;6847603;63227;onstreetBus;78006;Adainville,
43549;43549-60092;2014-12-29T16:31:51+01:00;2023-12-21T16:37:52+01:00;La Glacière;625052;6832057;60092;onstreetBus;78522;Rochefort-en-Yvelines,
46837;900981-1327405;2014-12-29T01:00:00+01:00;2023-12-21T16:37:40+01:00;La Cavée;627486;6859888;482728;onstreetBus;78674;Villepreux,
420102;727519-63267;2015-10-03T05:49:37+02:00;2023-12-21T16:37:38+01:00;La Brosse;626477;6847980;63267;onstreetBus;78561;Saint-Lambert,
56685;56685-60734;2014-12-29T16:31:51+01:00;2023-12-21T16:37:32+01:00;Kennedy;614620;6839417;60734;onstreetBus;78517;Rambouillet,
54959;54959-62736;2014-12-29T16:31:51+01:00;2023-12-21T16:37:31+01:00;Joute aux Cerfs;614931;6843977;62736;onstreetBus;78486;Le Perray-en-Yvelines,
48776;48776-60970;2014-12-29T16:31:51+01:00;2023-12-21T16:37:26+01:00;Janvrerie;631644;6842177;60970;onstreetBus;91411;Les Molières,
57777;57777-63391;2014-12-29T16:31:51+01:00;2023-12-21T16:37:21+01:00;Hopital MGEN;622795;6850368;63391;onstreetBus;78644;La Verrière,
48671;48671-63056;2014-12-29T16:31:51+01:00;2023-12-21T16:37:16+01:00;Hauts de Chevreuse;630931;6845721;63056;onstreetBus;78575;Saint-Rémy-lès-Chevreuse,
43339;43339-64169;2014-12-29T16:31:51+01:00;2023-12-21T16:37:08+01:00;Haie Bergerie;626513;6859069;64169;onstreetBus;78674;Villepreux,
51980;51980-64030;2014-12-29T16:31:51+01:00;2023-12-21T16:37:02+01:00;Guignonville;601179;6857671;64030;onstreetBus;78048;Bazainville,
54311;719048-719049;2014-12-29T01:00:00+01:00;2023-12-21T16:36:44+01:00;Grasse Village;624934;6863335;64364;onstreetBus;78233;Feucherolles,
479506;1201324-1201326;2020-06-29T12:50:05+02:00;2023-12-21T16:36:38+01:00;Grande Rue;617021;6868214;479507;onstreetBus;78380;Maule,
55024;55024-59736;2014-12-29T16:31:51+01:00;2023-12-21T16:36:34+01:00;Gourville;610784;6824470;59736;onstreetBus;78506;Prunay-en-Yvelines,
57776;57776-63403;2014-12-29T16:31:51+01:00;2023-12-21T16:36:27+01:00;Georges Lapierre;622540;6850662;63403;onstreetBus;78644;La Verrière,
43271;794305-1206954;2014-12-29T01:00:00+01:00;2023-12-21T16:36:24+01:00;Général de Gaulle;612646;6854090;63728;onstreetBus;78420;Montfort-l'Amaury,
473546;1248472-1119842;2019-03-15T01:00:00+01:00;2023-12-21T16:36:14+01:00;Saint-Quentin - Gare Routière des Prés;629926;6854617;63812;onstreetBus;78423;Montigny-le-Bretonneux,
473328;1096544-1119818;2019-03-13T01:00:00+01:00;2023-12-21T16:36:08+01:00;Gare de Plaisir Grignon;622436;6859569;64199;onstreetBus;78490;Plaisir,
473073;1087238-1087252;2019-03-11T01:00:00+01:00;2023-12-21T16:35:30+01:00;Gare de Beynes;617496;6862761;64338;onstreetBus;78062;Beynes,
473059;1085372-1208866;2019-03-08T01:00:00+01:00;2023-12-21T16:35:29+01:00;Gare d'Arpajon;644024;6832056;60072;onstreetBus;91021;Arpajon,
48727;48727-60914;2014-12-29T16:31:51+01:00;2023-12-21T16:35:27+01:00;Gare;630158;6841388;60914;onstreetBus;91093;Boullay-les-Troux,
43048;1390554-1390555;2014-12-29T16:31:51+01:00;2023-12-21T16:35:24+01:00;Gallieni;632579;6866671;64571;onstreetBus;78551;Saint-Germain-en-Laye,
43008;43008-1198905;2014-12-29T16:31:51+01:00;2023-12-21T16:35:19+01:00;Fontaine aux Dames;627260;6859653;64201;onstreetBus;78674;Villepreux,
52002;52002-64354;2014-12-29T16:31:51+01:00;2023-12-21T16:35:16+01:00;Ferranville;608015;6863244;64354;onstreetBus;78236;Flexanville,
53962;53962-64781;2014-12-29T16:31:51+01:00;2023-12-21T16:35:07+01:00;Fauvettes;617099;6870018;64781;onstreetBus;78049;Bazemont,
56678;56678-60443;2014-12-29T16:31:51+01:00;2023-12-21T16:34:57+01:00;Eiffel;613373;6836831;60443;onstreetBus;78517;Rambouillet,
58488;58488-63705;2014-12-29T16:31:51+01:00;2023-12-21T16:34:56+01:00;Egremont;611983;6853874;63705;onstreetBus;78420;Montfort-l'Amaury,
51748;51748-63757;2014-12-29T16:31:51+01:00;2023-12-21T16:34:53+01:00;Eglise;623539;6854233;63757;onstreetBus;78208;Élancourt,
42915;42915-1030032;2014-12-29T16:31:51+01:00;2023-12-21T16:34:53+01:00;Eglise;600502;6862944;463493;onstreetBus;78474;Orvilliers,
53364;53364-64992;2014-12-29T16:31:51+01:00;2023-12-21T16:34:51+01:00;Eglise;604131;6871921;64992;onstreetBus;78647;Vert,
48775;796866-796867;2014-12-29T01:00:00+01:00;2023-12-21T16:34:48+01:00;Église;631352;6841765;60937;onstreetBus;91411;Les Molières,
53952;53952-65352;2014-12-29T16:31:51+01:00;2023-12-21T16:34:43+01:00;Eglise;619134;6874554;65352;onstreetBus;78090;Bouafle,
49197;49197-63702;2014-12-29T16:31:51+01:00;2023-12-21T16:34:41+01:00;Eglise;616188;6853782;63702;onstreetBus;78050;Bazoches-sur-Guyonne,
51977;51977-63239;2014-12-29T16:31:51+01:00;2023-12-21T16:34:40+01:00;Eglise;600915;6847815;63239;onstreetBus;78006;Adainville,
48714;1380598-1380599;2014-12-29T01:00:00+01:00;2023-12-21T16:34:36+01:00;Butte au Buis / Jean Moulin;631495;6845915;63100;onstreetBus;78575;Saint-Rémy-lès-Chevreuse,
49111;49111-64161;2014-12-29T16:31:51+01:00;2023-12-21T16:34:26+01:00;Docteur Vaillant;626295;6858945;64161;onstreetBus;78165;Les Clayes-sous-Bois,
54109;54109-1237828;2014-12-29T16:31:51+01:00;2023-12-21T16:34:22+01:00;Demarine;630318;6861715;64288;onstreetBus;78455;Noisy-le-Roi,
42829;42829-63882;2014-12-29T16:31:51+01:00;2023-12-21T16:34:20+01:00;De Lattre de Tassigny;624692;6855780;63882;onstreetBus;78208;Élancourt,
46889;1292917-1292918;2014-12-29T01:00:00+01:00;2023-12-21T16:34:19+01:00;D 113;616140;6874126;65281;onstreetBus;78029;Aubergenville,
52070;52070-64318;2014-12-29T16:31:51+01:00;2023-12-21T16:34:15+01:00;Croix Rouge;610268;6862591;64318;onstreetBus;78681;Villiers-le-Mahieu,
52025;52025-64012;2014-12-29T16:31:51+01:00;2023-12-21T16:34:03+01:00;Coty Rue de la Gare;609499;6857184;64012;onstreetBus;78513;La Queue-les-Yvelines,
54006;54006-64376;2014-12-29T16:31:51+01:00;2023-12-21T16:33:59+01:00;Cottages;624519;6863553;64376;onstreetBus;78233;Feucherolles,
56624;1372437-1372438;2014-12-29T01:00:00+01:00;2023-12-21T16:33:57+01:00;Bas / Côté Lainée;599908;6866811;64525;onstreetBus;78417;Montchauvet,
59089;59089-833973;2014-12-29T16:31:51+01:00;2023-12-21T16:33:53+01:00;Côte de la Gruerie;634313;6843975;62754;onstreetBus;91274;Gometz-la-Ville,
48570;48570-64124;2014-12-29T16:31:51+01:00;2023-12-21T16:33:49+01:00;Corneille;636235;6858455;64124;onstreetBus;78158;Chesnay-Rocquencourt,
42694;42694-667478;2014-12-29T16:31:51+01:00;2023-12-21T16:33:36+01:00;Collège François Rabelais;619653;6862268;64308;onstreetBus;78062;Beynes,
55063;55063-60023;2014-12-29T16:31:51+01:00;2023-12-21T16:33:33+01:00;Collège Brassens;622304;6831174;60023;onstreetBus;78537;Saint-Arnoult-en-Yvelines,
58932;58932-74063;2014-12-29T16:31:51+01:00;2023-12-21T16:33:14+01:00;Cimetière;636761;6841815;74063;onstreetBus;91275;Gometz-le-Châtel,
53956;1192330-1192329;2014-12-29T01:00:00+01:00;2023-12-21T16:33:12+01:00;La Cigale;619847;6874848;65397;onstreetBus;78090;Bouafle,
59127;59127-74203;2014-12-29T16:31:51+01:00;2023-12-21T16:33:03+01:00;Chemin de Broderne;624863;6835357;74203;onstreetBus;78120;Bullion,
53715;53715-63873;2014-12-29T16:31:51+01:00;2023-12-21T16:32:57+01:00;Château d'Eau;622718;6855681;63873;onstreetBus;78490;Plaisir,
59055;59055-74142;2014-12-29T16:31:51+01:00;2023-12-21T16:32:55+01:00;Château;612811;6839318;74142;onstreetBus;78517;Rambouillet,
48685;796837-796836;2014-12-29T01:00:00+01:00;2023-12-21T16:32:52+01:00;Château;625539;6845628;63030;onstreetBus;78193;Dampierre-en-Yvelines,
51979;51979-63994;2014-12-29T16:31:51+01:00;2023-12-21T16:32:48+01:00;Châtaigniers;602488;6857073;63994;onstreetBus;78048;Bazainville,
49173;727790-728061;2014-12-29T01:00:00+01:00;2023-12-21T16:32:47+01:00;Charlaine;617452;6851336;63432;onstreetBus;78576;Saint-Rémy-l'Honoré,
420135;727735-727749;2015-10-05T13:41:10+02:00;2023-12-21T16:32:45+01:00;Chapelle;613761;6852114;420137;onstreetBus;78398;Les Mesnuls,
54955;54955-62862;2014-12-29T16:31:51+01:00;2023-12-21T16:32:42+01:00;Champ de Foire;615808;6844677;62862;onstreetBus;78486;Le Perray-en-Yvelines,
463980;1369176-1369185;2019-02-25T01:00:00+01:00;2023-12-21T16:32:39+01:00;Centre Commercial Parly 2;635251;6859089;64189;onstreetBus;78158;Chesnay-Rocquencourt,
49174;890463-890464;2014-12-29T01:00:00+01:00;2023-12-21T16:32:32+01:00;Mairie / Centre;614710;6860459;64228;onstreetBus;78588;Saulx-Marchais,
474339;1115154-1115173;2019-04-16T02:00:00+02:00;2023-12-21T16:32:18+01:00;Les Carrières;616712;6844289;62793;onstreetBus;78030;Auffargis,
53336;881395-881396;2014-12-29T01:00:00+01:00;2023-12-21T16:32:01+01:00;Brasseuil;604684;6872998;65114;onstreetBus;78031;Auffreville-Brasseuil,
52274;52274-60628;2014-12-29T16:31:51+01:00;2023-12-21T16:31:53+01:00;Bois de Montmarre;637550;6838807;60628;onstreetBus;91319;Janvry,
57919;57919-63356;2014-12-29T16:31:51+01:00;2023-12-21T16:31:32+01:00;Avenue de Noailles;622323;6849553;63356;onstreetBus;78397;Le Mesnil-Saint-Denis,
55079;55079-59875;2014-12-29T16:31:51+01:00;2023-12-21T16:31:29+01:00;Avenue;610664;6828309;59875;onstreetBus;78506;Prunay-en-Yvelines,
51574;51574-60468;2014-12-29T16:31:51+01:00;2023-12-21T16:31:25+01:00;Ardillières;634933;6837439;60468;onstreetBus;91249;Forges-les-Bains,
53352;746287-746288;2014-12-29T01:00:00+01:00;2023-12-21T16:31:02+01:00;1 Route Nationale;610007;6856796;63978;onstreetBus;78513;La Queue-les-Yvelines,
44983;44983-64066;2014-12-29T16:31:51+01:00;2023-12-21T16:21:56+01:00;Val Joyeux;626703;6857981;64066;onstreetBus;78674;Villepreux,
55072;55072-59985;2014-12-29T16:31:51+01:00;2023-12-21T16:13:16+01:00;Petits Meurgers;619684;6830617;59985;onstreetBus;78601;Sonchamp,
48694;48694-63250;2014-12-29T16:31:51+01:00;2023-12-21T16:02:31+01:00;La Gripière;620151;6847887;63250;onstreetBus;78334;Lévis-Saint-Nom,
43057;1466532-1466559;2014-12-29T16:31:51+01:00;2023-12-21T15:57:47+01:00;Place Royale - Gambetta;633909;6866634;73715;onstreetBus;78551;Saint-Germain-en-Laye,
55028;55028-60495;2014-12-29T16:31:51+01:00;2023-12-21T15:54:43+01:00;Cours Vertes;603182;6837559;60495;onstreetBus;78516;Raizeux,
48668;1489038-1489039;2014-12-29T16:31:51+01:00;2023-12-21T15:54:00+01:00;Collège P. de Coubertin;629754;6845193;62984;onstreetBus;78160;Chevreuse,
43496;43496-1489947;2014-12-29T16:31:51+01:00;2023-12-21T15:28:33+01:00;Kennedy;633165;6868730;486733;onstreetBus;78551;Saint-Germain-en-Laye,
49694;49694-729499;2014-12-29T16:31:51+01:00;2023-12-21T15:16:51+01:00;Rue de Giez;655873;6891501;67186;onstreetBus;95594;Seugy,
44088;1241940-1239069;2014-12-29T01:00:00+01:00;2023-12-21T15:15:03+01:00;Marché;664032;6856866;73060;onstreetBus;94017;Champigny-sur-Marne,
50256;50256-73090;2014-12-29T16:31:51+01:00;2023-12-21T15:15:03+01:00;Cités Jardins;664060;6858053;73090;onstreetBus;94017;Champigny-sur-Marne,
51651;51651-73044;2014-12-29T16:31:51+01:00;2023-12-21T15:15:03+01:00;La Cascade;665024;6856657;73044;onstreetBus;94017;Champigny-sur-Marne,
51400;1517782-1517784;2014-12-29T16:31:51+01:00;2023-12-21T14:55:32+01:00;Charles Bouticourt;633652;6884783;66939;onstreetBus;95500;Pontoise,
54543;54543-66082;2014-12-29T16:31:51+01:00;2023-12-21T14:54:05+01:00;Centre Commercial Paul Brard;634725;6877889;66082;onstreetBus;78172;Conflans-Sainte-Honorine,
51521;734379-734376;2014-12-29T01:00:00+01:00;2023-12-21T14:49:22+01:00;Bas Rucourt;625173;6881062;66549;onstreetBus;95388;Menucourt,
488548;1496171-1517742;2023-10-04T13:10:34+02:00;2023-12-21T14:43:06+01:00;Escadrons;633283;6882896;490531;onstreetBus;95500;Pontoise,
51412;870665-1517728;2014-12-29T01:00:00+01:00;2023-12-21T14:34:47+01:00;Plaine des Sports;630320;6884265;66894;onstreetBus;95127;Cergy,
49696;1463689-67128;2014-12-29T16:31:51+01:00;2023-12-21T14:11:32+01:00;Croix de Lassy / Plessis Luzarches;659798;6888996;67128;onstreetBus;95331;Lassy,
47445;1326656-1332729;2014-12-29T01:00:00+01:00;2023-12-20T17:39:21+01:00;Verdun / Conflans Sainte-Honorine Noctilien;633707;6877794;66042;onstreetBus;78172;Conflans-Sainte-Honorine,
44445;851484-851485;2014-12-29T01:00:00+01:00;2023-12-20T17:39:20+01:00;Place Vauban;632825;6867482;64621;onstreetBus;78551;Saint-Germain-en-Laye,
54576;54576-65929;2014-12-29T16:31:51+01:00;2023-12-20T17:39:17+01:00;Relais Sainte Honorine;635165;6877242;65929;onstreetBus;78172;Conflans-Sainte-Honorine,
473880;1106314-1230004;2019-03-26T01:00:00+01:00;2023-12-20T17:39:13+01:00;Pont Eiffel;632348;6877350;480549;onstreetBus;78172;Conflans-Sainte-Honorine,
43584;1291596-1291590;2014-12-29T01:00:00+01:00;2023-12-20T17:39:05+01:00;Terrasse;630681;6869720;64766;onstreetBus;78551;Saint-Germain-en-Laye,
51475;51475-66941;2014-12-29T16:31:51+01:00;2023-12-20T17:39:03+01:00;Louvrais;633170;6884827;66941;onstreetBus;95500;Pontoise,
46784;46784-65168;2014-12-29T16:31:51+01:00;2023-12-20T17:39:00+01:00;Les Cottages;632040;6873313;65168;onstreetBus;78005;Achères,
51435;1350682-1350683;2014-12-29T01:00:00+01:00;2023-12-20T17:38:59+01:00;La Tréate;637405;6885101;66966;onstreetBus;95572;Saint-Ouen-l'Aumône,
51488;1307464-1307465;2014-12-29T01:00:00+01:00;2023-12-20T17:38:58+01:00;La Taillette;625279;6881541;66601;onstreetBus;95388;Menucourt,
51434;1350681-1350680;2014-12-29T01:00:00+01:00;2023-12-20T17:38:57+01:00;La Sébille;630692;6883463;66822;onstreetBus;95127;Cergy,
