"JOUR","CODE_STIF_TRNS","CODE_STIF_RES","CODE_STIF_ARRET","LIBELLE_ARRET","ID_REFA_LDA","CATEGORIE_TITRE","NB_VALD","Month","Year","Weekday","is_holiday"
2019-03-06,800,803,184,"CHILLY-MAZARIN",62939,"TST",56,"Mar",2019,"Wednesday",FALSE
2021-09-17,100,110,614,"OURCQ",71972,"FGT",391,"Sep",2021,"Friday",FALSE
2020-09-01,100,110,150,"CHARENTON-ECOLES",70648,"FGT",152,"Sep",2020,"Tuesday",FALSE
2020-03-22,100,110,1,"PORTE MAILLOT",71379,"FGT",29,"Mar",2020,"Sunday",FALSE
2019-11-03,800,803,40,"AVENUE DU PRESIDENT KENNEDY",71212,"AUTRE TITRE",7,"Nov",2019,"Sunday",FALSE
2020-04-06,810,802,287,"FONTENAY-AUX-ROSES",70133,"NON DEFINI",6,"Apr",2020,"Monday",FALSE
2023-04-26,800,804,468,"LIEUSAINT-MOISS",62412,"AMETHYSTE",118,"Apr",2023,"Wednesday",FALSE
2020-11-03,800,804,433,"LE PLESSIS-CHENET",60006,"TST",5,"Nov",2020,"Tuesday",FALSE
2022-12-07,100,110,420,"LA MOTTE-PICQ.",73844,"AMETHYSTE",524,"Dec",2022,"Wednesday",FALSE
2018-03-05,800,853,875,"VAUCELLES",66520,"NAVIGO",381,"Mar",2018,"Monday",FALSE
2019-02-05,800,804,845,"SURVILLIERS-FOSSES",69450,"AMETHYSTE",38,"Feb",2019,"Tuesday",FALSE
2019-12-03,100,110,425,"LA TOUR MAUBOURG",71242,"AMETHYSTE",145,"Dec",2019,"Tuesday",FALSE
2020-10-08,100,110,896,"VILLEJUIF-LEO LAGRANGE",70375,"NAVIGO",34,"Oct",2020,"Thursday",FALSE
2022-03-03,800,852,526,"MAULE",64674,"NAVIGO",110,"Mar",2022,"Thursday",FALSE
2019-08-08,100,110,779,"SAINT-PLACIDE",71184,"NON DEFINI",5,"Aug",2019,"Thursday",FALSE
2017-03-02,100,110,587,"NATIONALE",71043,"AUTRE TITRE",129,"Mar",2017,"Thursday",FALSE
2018-07-24,100,110,279,"FAIDHERBE-CHALIGNY",74001,"AMETHYSTE",248,"Jul",2018,"Tuesday",FALSE
2020-11-13,100,110,864,"TUILERIES",71284,"IMAGINE R",173,"Nov",2020,"Friday",FALSE
2019-05-26,810,802,790,"SCEAUX",74265,"NAVIGO",642,"May",2019,"Sunday",FALSE
2020-01-26,100,110,278,"EXELMANS",71124,"NAVIGO JOUR",5,"Jan",2020,"Sunday",FALSE
2021-10-16,800,803,540,"MEUDON-VAL-FLEURY",70412,"NON DEFINI",8,"Oct",2021,"Saturday",FALSE
2021-12-26,100,110,722,"RANELAGH",71243,"NON DEFINI",122,"Dec",2021,"Sunday",FALSE
2020-12-24,100,110,717,"QUAI DE LA GARE",71597,"FGT",82,"Dec",2020,"Thursday",FALSE
2019-02-04,100,110,107,"BREGUET-SABIN",73621,"FGT",186,"Feb",2019,"Monday",FALSE
2019-11-03,100,110,317,"GARE DE LYON",73626,"NON DEFINI",234,"Nov",2019,"Sunday",FALSE
2022-07-07,100,110,690,"PORTE D.CLIGN.",72059,"NAVIGO JOUR",21,"Jul",2022,"Thursday",FALSE
2017-12-23,800,853,68,"BESSANCOURT",66672,"IMAGINE R",60,"Dec",2017,"Saturday",FALSE
2021-03-26,100,110,737,"RICHELIEU-DROUOT",71330,"AMETHYSTE",150,"Mar",2021,"Friday",FALSE
2023-01-29,800,804,740,"RIS ORANGIS",60839,"IMAGINE R",95,"Jan",2023,"Sunday",FALSE
2021-09-10,800,803,361,"INVALIDES",71274,"AMETHYSTE",12,"Sep",2021,"Friday",FALSE
2023-02-21,800,854,211,"CORMEILLES",65399,"IMAGINE R",921,"Feb",2023,"Tuesday",FALSE
2021-07-17,100,110,107,"BREGUET-SABIN",73621,"AMETHYSTE",60,"Jul",2021,"Saturday",FALSE
2017-04-13,800,803,899,"VILLENEUVE-LE-ROI",69625,"AUTRE TITRE",46,"Apr",2017,"Thursday",FALSE
2021-11-27,800,853,537,"MERY-VAL D'OISE",66934,"IMAGINE R",76,"Nov",2021,"Saturday",FALSE
2018-10-06,100,110,233,"DAUMESNIL",71614,"FGT",332,"Oct",2018,"Saturday",FALSE
2021-04-19,100,110,736,"RICHARD LENOIR",73648,"NON DEFINI",210,"Apr",2021,"Monday",FALSE
2018-05-08,800,854,321,"GARGENVILLE",65732,"AMETHYSTE",5,"May",2018,"Tuesday",TRUE
2020-10-28,100,110,802,"SIMPLON",71556,"NAVIGO JOUR",5,"Oct",2020,"Wednesday",FALSE
2017-06-22,800,851,400,"LA GRANDE PAROISSE",61412,"AMETHYSTE",5,"Jun",2017,"Thursday",FALSE
2021-07-18,800,850,229,"CROUY-SUR-OURCQ",69435,"NAVIGO JOUR",5,"Jul",2021,"Sunday",FALSE
2018-08-30,800,804,114,"BRUNOY",67476,"TST",296,"Aug",2018,"Thursday",FALSE
2020-06-25,800,854,96,"BOUGIVAL",64301,"NAVIGO JOUR",5,"Jun",2020,"Thursday",FALSE
2020-08-29,800,803,918,"VITRY-SUR-SEINE",70313,"IMAGINE R",263,"Aug",2020,"Saturday",FALSE
2018-01-20,800,804,498,"MAISONS-ALFORT-ALFORTVILLE",73625,"NAVIGO JOUR",5,"Jan",2018,"Saturday",FALSE
2023-01-28,800,853,230,"DAMMARTIN",69254,"IMAGINE R",13,"Jan",2023,"Saturday",FALSE
2019-03-08,100,110,414,"LA DEFENSE-GRANDE ARCHE",71517,"FGT",278,"Mar",2019,"Friday",FALSE
2021-07-29,100,110,1072,"CRETEIL-P. LAC",69884,"TST",415,"Jul",2021,"Thursday",FALSE
2019-07-08,100,110,253,"EGLISE DE PANTIN",72024,"AMETHYSTE",292,"Jul",2019,"Monday",FALSE
2022-08-09,100,110,423,"LA MUETTE     ",71245,"TST",38,"Aug",2022,"Tuesday",FALSE
2017-01-12,800,803,40,"AVENUE DU PRESIDENT KENNEDY",71212,"AUTRE TITRE",16,"Jan",2017,"Thursday",FALSE
2017-01-09,800,853,875,"VAUCELLES",66520,"NAVIGO",339,"Jan",2017,"Monday",FALSE
2017-09-29,800,854,613,"OSNY",66977,"FGT",10,"Sep",2017,"Friday",FALSE
2020-06-22,800,854,867,"VAL-D'ARGENTEUIL",65110,"NON DEFINI",81,"Jun",2020,"Monday",FALSE
2021-08-28,100,110,873,"VARENNE",71232,"AMETHYSTE",18,"Aug",2021,"Saturday",FALSE
2023-06-27,800,804,901,"VILLENEUVE ST G",69568,"NAVIGO",673,"Jun",2023,"Tuesday",FALSE
2020-02-22,800,854,194,"COLOMBES",72244,"AMETHYSTE",86,"Feb",2020,"Saturday",FALSE
2018-07-27,100,110,768,"SAINT-JACQUES",71041,"TST",78,"Jul",2018,"Friday",FALSE
2018-11-10,100,110,311,"AUSTERLITZ",71135,"NAVIGO JOUR",13,"Nov",2018,"Saturday",FALSE
2018-03-07,800,803,380,"JOUY-EN-JOSAS",63523,"TST",29,"Mar",2018,"Wednesday",FALSE
2020-03-09,100,110,183,"CHEVALERET",73651,"NON DEFINI",222,"Mar",2020,"Monday",FALSE
2021-07-28,100,110,1017,"FUNICULAIRE   ",73849,"IMAGINE R",422,"Jul",2021,"Wednesday",FALSE
2022-12-05,100,110,16,"ANATOLE FRANCE",71519,"FGT",131,"Dec",2022,"Monday",FALSE
2022-06-18,100,110,293,"FRANKLIN-D.ROOSEVELT",71318,"AMETHYSTE",161,"Jun",2022,"Saturday",FALSE
2022-04-05,100,110,476,"LOUIS BLANC",71407,"NON DEFINI",406,"Apr",2022,"Tuesday",FALSE
2021-02-08,100,110,772,"SAINT-MANDE-TOURELLE",71647,"NAVIGO JOUR",8,"Feb",2021,"Monday",FALSE
2023-05-11,800,803,73,"BIEVRES",63404,"TST",41,"May",2023,"Thursday",FALSE
2018-10-13,800,854,321,"GARGENVILLE",65732,"IMAGINE R",51,"Oct",2018,"Saturday",FALSE
2018-11-12,810,801,826,"SAINT-MAUR-CRETEIL",70393,"FGT",504,"Nov",2018,"Monday",FALSE
2019-05-11,100,110,892,"VICTOR HUGO",71315,"AMETHYSTE",158,"May",2019,"Saturday",FALSE
2019-06-21,100,110,626,"PASSY",71237,"AUTRE TITRE",82,"Jun",2019,"Friday",FALSE
2022-11-28,800,804,428,"BRAS DE FER",60422,"NON DEFINI",45,"Nov",2022,"Monday",FALSE
2019-01-29,100,110,282,"FELIX FAURE",71137,"TST",136,"Jan",2019,"Tuesday",FALSE
2017-11-30,800,853,595,"NOINTEL-MOURS",67227,"NAVIGO",383,"Nov",2017,"Thursday",FALSE
2020-05-16,100,110,244,"DUGOMMIER",71606,"NAVIGO JOUR",5,"May",2020,"Saturday",FALSE
2018-08-19,100,110,671,"PONT DE SEVRES",70698,"IMAGINE R",411,"Aug",2018,"Sunday",FALSE
2023-04-02,800,805,490,"MAGENTA",74000,"AMETHYSTE",47,"Apr",2023,"Sunday",FALSE
2018-04-15,100,110,763,"SAINT-DENIS-UNIVERSITE",72358,"TST",605,"Apr",2018,"Sunday",FALSE
2019-09-29,100,110,318,"GARE DU NORD",71410,"NAVIGO",244,"Sep",2019,"Sunday",FALSE
2021-04-26,800,804,276,"EVRY",60522,"AMETHYSTE",6,"Apr",2021,"Monday",FALSE
2022-10-14,100,110,161,"CHATEAU-LANDON",73615,"NAVIGO",60,"Oct",2022,"Friday",FALSE
2018-06-02,100,110,466,"LIBERTE",71558,"NAVIGO JOUR",5,"Jun",2018,"Saturday",FALSE
2022-08-15,800,804,48,"BALLANCOURT",59825,"TST",11,"Aug",2022,"Monday",TRUE
2017-04-12,100,110,467,"LIEGE",71382,"IMAGINE R",429,"Apr",2017,"Wednesday",FALSE
2019-01-05,800,803,41,"AVENUE FOCH",71321,"NAVIGO",251,"Jan",2019,"Saturday",FALSE
2018-09-30,100,110,606,"OPERA",71337,"NON DEFINI",28,"Sep",2018,"Sunday",FALSE
2020-12-22,800,850,711,"PROVINS",62139,"NAVIGO",287,"Dec",2020,"Tuesday",FALSE
2022-03-02,100,110,800,"SEVRES-LECOURBE",71144,"NAVIGO JOUR",7,"Mar",2022,"Wednesday",FALSE
2021-08-22,100,110,279,"FAIDHERBE-CHALIGNY",74001,"AMETHYSTE",117,"Aug",2021,"Sunday",FALSE
2017-01-27,100,110,273,"ETIENNE-MARCEL",71282,"AUTRE TITRE",101,"Jan",2017,"Friday",FALSE
2022-07-06,100,110,552,"MONCEAU       ",73671,"AMETHYSTE",77,"Jul",2022,"Wednesday",FALSE
2018-06-26,100,110,684,"PORTE DE BAGNOLET",71799,"NAVIGO JOUR",5,"Jun",2018,"Tuesday",FALSE
2021-09-22,800,853,264,"ERMONT-HALTE",65910,"NAVIGO",15,"Sep",2021,"Wednesday",FALSE
2019-08-30,800,850,866,"VAIRES-TORCY",68419,"IMAGINE R",375,"Aug",2019,"Friday",FALSE
2020-12-11,100,110,600,"NOTRE-DAME-DE-LORETTE",71350,"TST",110,"Dec",2020,"Friday",FALSE
2022-08-19,800,852,553,"MONTFORT L AMAU",63955,"NAVIGO",125,"Aug",2022,"Friday",FALSE
